#{"t_start": 1718269166.4872775, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
-18.292499,1000,6.133872
-37.409919,93,6.631045
5.830409,204,7.711221
-110.944252,404,9.864745
71.37512,1000,15.255264
-42.442337,1000,20.522887
-2.6359,1000,53.420497
24.497175,1000,67.83446
56.147226,1000,73.146445
-23.13661,171,74.065526
-71.943106,1000,79.509538
-10.8579,222,81.052942
-14.063684,47,81.394339
-9.770212,56,109.122284
-21.678435,1000,114.50772
-25.339763,1000,127.778471
-149.183987,795,132.01837
29.606311,1000,137.617398
-20.116788,85,138.107689
55.178624,1000,170.720691
-12.600334,523,173.554013
-83.271245,400,175.72007
59.032327,1000,181.11363
-61.663559,1000,194.576963
9.476394,269,196.062896
-112.940594,1000,228.951894
11.405867,1000,234.294435
46.291515,1000,239.619127
-66.954417,1000,253.74735
-58.251646,334,282.090268
-2.381645,194,283.103024
-6.488945,42,283.322942
-42.290582,1000,288.592044
-15.789569,756,292.52967
98.898284,1000,297.936799
17.938611,1000,330.031337
100.636051,877,343.370905
63.066721,1000,348.694056
-5.52416,1000,354.169303
58.668321,1000,359.724322
45.958292,1000,392.302656
-13.150606,86,392.759176
52.267227,1000,406.384785
-109.366277,532,409.349759
107.70912,1000,414.901062
84.536923,1000,446.214191
-0.007286,63,446.537308
-11.422571,165,447.387273
-51.44614,456,449.764627
22.622848,781,453.951427
33.197654,688,465.791133
-7.502491,69,466.176206
0.710247,144,467.013184
-11.056873,1000,472.599247
-13.792521,1000,503.349188
-0.360136,156,504.206128
23.968275,1000,509.407901
76.346743,443,511.765596
71.427963,1000,525.924702
-16.082644,200,527.036337
25.34014,355,529.007549
100.968361,1000,559.592227
-52.705447,288,561.119047
-30.777417,1000,566.32442
126.483281,1000,571.584988
-14.156734,81,572.033772
34.590168,1000,577.666037
77.494767,378,613.294785
-20.51456,1000,618.681803
88.901552,1000,624.189789
31.829199,1000,629.699487
58.305484,1000,660.039272
5.967016,220,661.197236
-25.567213,290,662.722115
127.890348,796,675.475169
5.30279,83,675.939572
47.507281,1000,681.536945
-15.000916,1000,687.038596
-9.004391,486,689.584143
66.046624,1000,719.473662
64.109465,1000,733.497472
105.853899,1000,739.081877
144.704545,1000,744.418013
-29.796252,62,744.758946
222.565045,1000,775.150357
9.749044,167,776.074328
80.300984,1000,781.593538
-20.650149,114,782.238142
47.005368,1000,796.872627
-5.664027,51,797.146373
65.910198,1000,828.36653
31.354106,1000,833.919515
-11.978502,498,836.686133
17.747938,69,837.079138
-21.941642,379,839.176273
121.241274,1000,844.723052
-17.597367,57,845.027637
79.664145,1000,885.586571
60.565776,1000,891.155438
98.829703,1000,896.514411
102.172536,1000,901.653841
39.495417,1000,907.050142
-86.394705,1000,947.271626
115.363461,1000,952.550933
44.038181,1000,957.888986
60.838728,1000,963.203462
77.721684,1000,993.932384
0.968669,36,994.152357
136.352709,1000,1007.924729
124.714615,1000,1013.297251
57.051992,1000,1018.739214
-8.244927,21,1018.855049
86.58008,1000,1049.532568
110.817546,1000,1055.223499
68.781279,1000,1068.509006
128.504539,1000,1074.112983
121.059882,1000,1105.325944
83.878693,774,1109.609564
-3.160407,191,1110.663303
78.394008,1000,1116.108881
9.793638,166,1117.006368
51.655136,215,1126.173353
118.557932,1000,1157.481107
74.457737,1000,1163.039887
63.164619,1000,1168.467682
137.021916,1000,1173.830605
132.895743,1000,1187.435842
0.189639,240,1215.517461
90.529305,1000,1220.85495
104.006068,442,1223.131098
-6.140816,162,1223.942931
139.050203,934,1228.897042
-3.764945,115,1229.486835
235.386874,1000,1234.965455
74.90631,1000,1267.165577
-2.865863,116,1268.249973
139.220358,970,1273.576334
151.080914,1000,1278.811949
94.028942,1000,1284.017907
169.329955,1000,1314.377763
25.633892,147,1315.40928
109.625255,1000,1330.384851
185.219876,1000,1335.697886
185.652691,1000,1341.104388
-11.325665,584,1368.500681
1.939174,30,1368.734211
53.594749,356,1371.246628
31.575248,183,1372.537975
75.244825,328,1374.856028
91.745583,1000,1380.838656
120.820161,1000,1394.384778
285.017928,1000,1423.82166
62.320367,1000,1430.921575
170.7351,968,1436.631717
-30.204063,254,1437.963938
57.189879,337,1439.762026
215.764807,1000,1453.801964
165.394501,1000,1484.916903
185.855481,1000,1491.022548
175.398851,1000,1496.174816
129.276093,831,1500.528553
125.642245,686,1528.354751
223.016852,1000,1543.448435
-1.055087,149,1544.196992
-0.20118,33,1544.362323
184.861473,1000,1549.617315
202.565323,1000,1554.81571
80.54708,358,1556.708529
15.952986,125,1557.357348
223.214533,1000,1587.529476
129.496185,1000,1603.25666
17.493499,110,1603.806204
251.401771,877,1608.304689
62.997276,248,1609.675213
268.415194,1000,1614.920533
171.203343,615,1643.720528
146.345535,876,1649.708498
140.03495,1000,1663.710912
171.90406,1000,1668.904749
22.146077,192,1669.974777
213.279295,642,1673.42955
8.266931,78,1699.792171
-0.063618,21,1699.936484
169.997668,1000,1706.125528
22.064417,83,1706.581749
92.432549,909,1711.510318
13.303774,279,1712.966983
-0.963671,81,1713.404473
154.645004,1000,1727.665778
-9.216699,156,1728.505144
241.727032,1000,1760.448461
178.234803,1000,1766.182397
43.529075,226,1767.384858
-2.732799,24,1767.509188
123.557305,287,1769.028521
238.619141,1000,1774.355224
241.481637,1000,1787.551631
263.139847,1000,1819.574632
21.542227,104,1820.128982
59.815214,198,1821.165728
247.207623,871,1825.68245
193.780464,1000,1831.002931
225.263741,917,1836.260349
320.028644,1000,1875.936151
128.646426,275,1877.363885
297.413542,1000,1882.660925
-5.75259,55,1882.944858
226.379016,791,1887.098234
259.266895,1000,1892.697298
113.877181,1000,1924.627851
