#{"t_start": 1718269166.0680208, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
-4.147353,343,2.605357
-133.677946,668,6.211704
125.195864,1000,11.500203
0.375457,1000,16.842609
-3.623454,50,17.095226
5.70662,51,17.355253
-14.462237,105,17.911482
-9.970217,68,18.261282
-49.200528,1000,51.227071
-111.72469,1000,65.131908
40.606255,1000,70.461743
-21.200952,1000,75.686389
-99.953817,1000,108.76703
50.422018,1000,114.344248
-18.415792,1000,127.827658
44.049194,395,129.947614
-63.627251,1000,135.309339
-32.239068,84,135.773748
19.754917,1000,168.692302
-73.41966,257,170.045082
-128.190128,1000,175.468019
36.243943,1000,189.043584
-43.623531,1000,194.506319
-20.275875,1000,228.394842
-31.694242,190,229.417361
-18.692391,130,230.12353
8.482815,344,231.932275
48.093215,350,233.800205
-56.079192,1000,239.121325
6.740288,265,240.559882
-17.468832,261,241.939326
15.111682,1000,282.163144
18.321717,1000,287.486356
-18.055994,43,287.710127
-69.995388,1000,292.969532
-16.592122,682,296.646454
202.620486,1000,302.178488
18.76705,1000,342.779391
103.869687,863,347.369993
-12.16452,1000,352.737592
116.769179,1000,358.245456
41.740454,1000,390.44363
14.554166,1000,404.080887
-59.360051,300,405.66797
50.025475,151,406.504103
40.858836,1000,412.062119
-31.967741,48,412.327799
91.21539,1000,417.905163
99.709106,1000,449.041925
40.47132,1000,454.273475
202.383429,1000,468.022468
118.908507,1000,473.608626
-20.67885,166,474.534535
-58.520239,1000,505.327549
77.524252,1000,510.493946
-37.899798,1000,515.893254
-65.464781,1000,530.356312
-48.886735,619,558.890421
50.038147,1000,564.23708
82.17157,1000,569.416438
-80.91307,1000,574.919915
-8.193808,599,587.11305
88.142351,449,614.42167
18.753036,1000,619.890092
6.264476,1000,625.436264
51.071321,1000,630.958121
56.157336,1000,661.231546
55.093301,1000,676.221512
-35.776305,707,680.187874
-7.23834,31,680.360282
-66.09304,1000,685.901798
157.160938,1000,691.426837
7.680168,1000,721.068368
11.456865,85,721.543703
156.241536,1000,735.670494
-144.001516,707,739.59905
-10.072205,1000,744.919786
37.811591,987,775.777964
13.685215,1000,781.287882
-79.449528,564,784.419031
8.220677,1000,798.260218
-75.681424,1000,829.503163
88.186702,786,833.86224
-48.034535,160,834.749757
-77.30133,855,839.504434
87.611183,1000,845.055826
-25.257987,1000,858.277218
-54.323171,533,887.659846
68.613484,1000,893.177868
-15.039723,1000,898.425689
10.844724,1000,903.591262
23.519119,1000,934.253903
55.259671,852,947.511525
12.49791,1000,952.798798
-5.59792,240,954.067013
-10.089482,516,956.912395
-14.017971,163,957.726296
31.375893,1000,962.896489
15.820531,1000,993.665582
-60.622887,1000,1007.748537
148.600005,590,1010.90288
51.747935,349,1012.770044
28.127565,281,1014.330129
-111.903833,335,1016.159865
100.62675,1000,1046.741307
40.74054,1000,1052.285436
43.277592,1000,1066.022181
-3.392086,43,1066.242697
-0.221101,1000,1071.543117
-9.854716,1000,1102.881935
-23.667662,1000,1108.417298
147.238653,1000,1113.82822
-55.165058,1000,1127.163982
41.82958,257,1128.568948
69.394929,1000,1159.731958
5.707681,1000,1165.275845
-15.356246,611,1168.535139
39.403752,350,1170.40715
-21.969779,934,1175.419023
177.583405,730,1215.136569
42.758567,1000,1220.4951
-53.677356,1000,1225.617937
17.151151,1000,1230.852253
8.854829,1000,1236.350777
-22.929695,1000,1276.710408
-60.170036,1000,1281.984806
89.361834,1000,1287.157993
-48.829156,1000,1293.72096
-143.941886,1000,1324.872443
3.084206,120,1325.550007
-34.76024,1000,1338.31757
96.0757,1000,1343.756978
-25.554054,195,1344.832391
139.852761,488,1347.897198
-111.368598,1000,1379.295877
30.811611,1000,1384.834929
69.53772,1000,1390.074488
-25.465658,1000,1403.58878
235.416377,1000,1434.721439
60.619366,1000,1440.121118
131.982509,1000,1445.466848
-24.688904,154,1446.338976
-48.060632,1000,1459.627039
30.715143,1000,1491.632811
39.566195,1000,1496.786925
-77.793583,1000,1502.036018
-66.343084,1000,1507.774686
7.029031,442,1510.625678
-79.008557,1000,1549.521825
13.739535,323,1551.198936
-4.769825,1000,1556.401842
-45.361068,1000,1561.838394
-57.50691,1000,1593.489282
35.76818,1000,1599.288162
126.525825,1000,1612.002567
-56.189779,1000,1617.196049
-13.009498,1000,1623.753574
1.707746,373,1651.127402
112.884174,1000,1656.701497
13.695878,128,1657.455564
48.666569,833,1669.104617
15.682274,1000,1674.63112
-87.094392,1000,1706.647567
137.446806,1000,1712.121396
18.528741,70,1712.490188
-39.831146,390,1714.611996
89.018733,1000,1720.161882
142.855047,1000,1734.627236
26.8612,844,1765.240272
-45.248575,1000,1770.486983
163.342186,1000,1775.758954
-41.549474,1000,1781.201548
-84.67242,516,1790.959086
36.888997,1000,1822.174626
-2.839162,1000,1827.38279
49.931781,1000,1832.636322
-185.094506,1000,1838.788022
-163.645817,1000,1877.974241
-1.919068,66,1878.347186
-8.462604,51,1878.618356
-79.285257,1000,1883.869777
59.834047,1000,1889.104137
-60.360394,1000,1895.208567
-48.834754,1000,1926.81939
31.670553,72,1927.203193
-16.366634,218,1928.448256
-126.67426,1000,1940.878165
-27.865592,1000,1946.026142
24.382866,1000,1952.267815
100.436757,1000,1983.790516
219.164733,1000,1989.204868
4.209363,1000,2002.694655
82.355514,1000,2008.523377
-69.254604,850,2039.994798
6.440065,1000,2045.283856
8.13684,787,2049.413423
-29.618906,1000,2062.165613
25.054885,1000,2094.304887
-95.813933,1000,2099.634392
27.723515,1000,2104.992405
171.863009,1000,2110.313894
57.180997,1000,2151.031338
0.475641,1000,2156.242637
-35.466134,494,2158.838256
7.356273,1000,2164.170193
2.985688,806,2168.61677
-96.727399,1000,2200.868355
-11.909015,1000,2213.38018
65.909242,110,2213.95211
-46.31978,381,2215.906806
-37.451785,347,2217.692887
-142.50153,1000,2223.025948
-98.785292,1000,2255.586546
137.860175,1000,2260.942294
91.912772,1000,2273.569442
-19.825877,1000,2278.992909
-1.684437,1000,2311.126959
86.853732,177,2312.066934
111.123485,559,2315.054557
-5.900097,202,2316.133208
-15.987511,1000,2321.449922
69.937469,300,2323.054428
93.700519,1000,2336.374152
126.485613,1000,2367.166696
35.969067,1000,2372.510866
182.326057,1000,2377.874006
-54.592265,1000,2383.531148
174.299688,1000,2420.879392
-19.217428,116,2421.483968
-8.114046,167,2422.346464
-79.846041,902,2427.26316
153.510779,1000,2432.753968
51.960015,1000,2438.835357
-17.436583,1000,2468.664438
-70.422181,561,2479.165241
40.520203,935,2484.423582
37.281021,951,2490.477043
85.004867,1000,2496.682633
103.875956,1000,2525.220469
180.440235,1000,2539.722031
119.206758,1000,2545.539057
31.953644,255,2546.949074
159.12465,1000,2552.841692
91.216583,1000,2580.997001
-10.44736,145,2581.760734
130.297907,1000,2587.167811
32.359293,1000,2601.060614
-61.508779,1000,2607.171142
111.372929,1000,2635.582561
113.815481,1000,2641.383743
87.724484,1000,2648.095443
-18.406853,1000,2662.336914
24.01829,1000,2690.56432
40.541743,1000,2696.798766
-17.629079,352,2698.84828
