#{"t_start": 1718269165.2586126, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
23.116186,1000,58.114537
23.867174,1000,121.473708
33.239886,1000,184.235131
20.015552,1000,247.817859
30.143709,1000,336.339958
27.731037,1000,399.159438
31.938711,1000,460.430734
22.872742,1000,521.674641
21.627801,1000,582.607907
25.422226,1000,667.925569
27.891657,1000,728.673175
20.464111,1000,789.499039
22.101667,1000,850.468775
25.819405,1000,937.136222
28.770886,1000,997.489284
28.227363,1000,1057.580658
25.633957,1000,1117.907789
29.0344,1000,1178.206394
29.168523,1000,1264.978575
64.251727,1000,1326.129495
26.843839,1000,1388.132255
27.550338,1000,1448.798516
26.757722,1000,1535.876307
28.712748,1000,1597.146294
28.437062,1000,1658.183458
27.658062,1000,1719.786369
26.817804,1000,1780.707137
23.542543,1000,1869.410519
27.733949,1000,1930.541394
23.464793,1000,1992.318789
30.463492,1000,2054.315821
25.932149,1000,2143.945032
25.871212,1000,2204.781895
26.83635,1000,2266.516473
31.77874,1000,2327.668034
27.940462,1000,2388.577487
24.799545,1000,2471.670115
15.808641,1000,2532.000955
31.046563,1000,2590.477293
31.678522,1000,2650.639418
27.523835,1000,2734.50403
32.233394,1000,2793.56028
523.515028,730,2854.257939
529.486923,572,2911.786487
66.645296,1000,2969.953743
390.779217,500,3054.130213
885.79134,1000,3111.78529
1015.386526,1000,3172.022991
6.476688,57,3230.49997
59.051637,120,3304.743616
65.916863,176,3357.206976
1013.36293,1000,3411.321986
452.833794,617,3470.735948
637.909189,636,3527.761555
203.437538,187,3609.56777
33.759888,45,3663.608181
944.28409,1000,3719.356573
1098.929746,1000,3781.627131
1106.586014,1000,3865.75011
1177.249262,1000,3927.138763
625.126771,661,3986.436488
901.558098,1000,4045.587276
117.50968,162,4104.45585
45.326418,60,4176.828676
1228.05937,1000,4232.011559
1395.413853,1000,4291.89005
288.340149,228,4350.521867
1386.128182,1000,4428.275801
211.436019,186,4486.274779
323.234502,281,4539.2098
133.729545,207,4593.777974
10.489726,32,4648.526004
1074.819306,715,4723.03397
4.51448,16,4779.773244
99.909704,97,4832.013899
222.707305,155,4883.010425
1378.13046,1000,4938.359345
886.148084,560,5015.816996
807.638637,637,5072.615034
109.683265,115,5128.010244
1249.514574,810,5183.410743
481.488625,321,5265.123239
1642.702193,1000,5321.278179
275.273726,187,5378.106805
1492.319755,1000,5433.372586
1118.547666,698,5493.303541
1323.356672,769,5575.053888
382.128846,240,5632.588033
1492.770279,972,5688.069868
586.823614,385,5747.116584
69.25797,52,5826.282168
1591.004598,976,5881.964098
1416.375732,873,5941.705475
1091.691317,660,6000.762398
1331.862814,638,6060.270385
2053.622492,1000,6141.216268
44.733593,58,6198.670828
985.362971,497,6251.387965
1769.781629,1000,6308.767904
1986.091107,1000,6392.912159
1951.20612,1000,6455.074102
2250.194122,1000,6515.602446
2186.917952,1000,6577.04547
1925.487723,1000,6639.505615
2004.462314,1000,6718.094272
2156.438854,1000,6777.51231
2231.006446,1000,6840.021975
2026.19568,1000,6900.275321
1861.667481,902,6978.266099
1781.122016,752,7037.857703
2125.67594,848,7098.831967
123.24232,115,7156.471904
1812.140505,831,7210.433159
294.618748,163,7287.935734
861.892551,411,7343.728004
2165.804604,1000,7401.341078
2253.052535,1000,7461.472097
2445.606028,1000,7544.377917
537.818356,260,7604.062178
6.968425,18,7658.613916
1011.601193,401,7711.195805
2502.877328,1000,7767.558603
2309.901525,1000,7847.166037
942.257218,392,7905.674264
816.135411,370,7962.825755
2500.815137,1000,8019.214789
2755.727415,1000,8099.877818
2622.063334,1000,8160.6787
2647.959306,1000,8220.494665
2444.984185,1000,8281.015269
71.276549,56,8338.79427
1745.221413,660,8414.719364
2844.259392,1000,8472.275357
2660.165486,907,8534.282116
2779.571159,1000,8593.426831
14.7923,19,8671.306629
2941.67474,1000,8727.803084
2634.435649,1000,8789.622403
2008.393697,719,8850.090903
3033.628033,1000,8908.997395
732.393793,302,8992.73787
1545.814034,600,9049.190752
2695.476335,901,9108.196594
894.574061,351,9167.172885
3071.472846,1000,9241.474196
2683.974263,881,9303.817431
3075.555531,1000,9364.046128
603.651977,229,9421.377254
70.535341,60,9475.509612
3218.713383,1000,9550.572814
3160.717251,1000,9611.005306
1525.74681,494,9669.514799
2970.604436,1000,9727.721461
3244.868056,1000,9787.45123
3326.00013,1000,9869.531088
17.269412,26,9927.585571
3474.17155,1000,9982.746021
3300.196445,1000,10042.738765
292.058263,133,10123.600605
662.735295,245,10177.083081
80.334617,76,10231.316816
3206.596606,1000,10287.352262
3335.32088,1000,10347.458286
3573.556599,1000,10431.743503
3448.662617,1000,10491.616019
3411.823968,1000,10551.755299
3659.26007,1000,10611.910862
3296.434164,1000,10698.172822
3395.121281,1000,10757.677864
3253.744963,1000,10817.19332
57.674102,36,10874.871429
47.638739,31,10926.901259
3647.722608,1000,11003.099455
98.413827,48,11061.756878
3484.410566,1000,11117.743623
59.864178,32,11175.686356
5.89708,16,11249.365704
3538.009303,1000,11305.024188
3585.412195,1000,11365.58693
3637.825974,1000,11427.058606
3659.418387,1000,11487.152279
3479.468914,1000,11568.702065
3616.451637,1000,11628.953365
3826.487951,1000,11690.263582
44.124228,32,11747.125121
3641.198533,1000,11824.235135
