#{"t_start": 1718269164.6302788, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
121.339777,1000,6.157461
-14.417022,1000,11.495306
65.737639,1000,16.893752
-24.294796,1000,22.158834
-147.369443,556,52.763884
3.975156,1000,65.948952
-2.973014,19,66.04643
-75.829402,283,67.519678
81.386448,1000,72.743277
-17.285887,1000,77.998192
27.114753,1000,111.312794
-3.965454,108,111.917499
21.597729,1000,117.253419
37.972714,1000,129.810466
59.272639,1000,135.163019
5.497322,1000,167.993998
68.331145,1000,173.474663
-24.367482,1000,178.829697
48.051493,336,187.91136
14.268674,1000,192.805849
108.240933,1000,225.170971
-76.549147,1000,230.844645
39.994303,1000,236.199779
-3.950477,750,247.766562
-146.925957,531,272.237559
-103.96898,978,279.845761
34.671585,1000,286.232182
24.665402,1000,291.539895
216.340164,1000,296.817653
-104.052631,1000,335.692073
56.109216,205,337.052665
-62.04852,1000,341.704363
38.010732,1000,346.83935
-14.91745,24,346.973044
292.718663,1000,374.347543
-103.378817,813,380.271934
3.176285,1000,395.425848
71.617758,1000,401.15405
-22.237737,1000,405.85579
18.757764,1000,433.620937
-70.937768,1000,441.401776
-33.632883,178,442.788058
27.69917,367,453.395845
36.536507,1000,458.955982
-96.094755,1000,483.062777
91.062519,1000,490.822529
7.896399,1000,498.58531
75.156527,1000,512.432383
-153.846565,1000,536.713526
119.698887,1000,544.509628
97.658311,1000,552.298766
32.014883,1000,559.357201
-70.692802,1000,588.586131
-91.81782,812,594.79235
-5.698039,160,596.034854
43.344165,1000,603.855527
-104.966609,1000,611.643501
67.702904,683,615.863945
-233.113911,1000,639.745071
20.934935,511,653.273671
-13.451873,1000,661.04081
-48.652754,1000,666.610845
-137.905184,1000,688.394398
-55.541895,1000,694.34373
-59.131913,1000,711.269559
111.625862,1000,718.242249
-24.701302,1000,723.53676
-46.797688,1000,745.371947
-4.769954,172,746.294258
209.682481,1000,753.456894
-7.722975,20,753.61305
8.993499,169,754.929251
12.447659,1000,771.850529
-16.143998,1000,794.252452
64.324797,1000,799.302133
29.996961,1000,805.059611
56.918099,1000,812.638259
-26.257699,530,825.555087
-16.588248,489,846.898727
71.068891,374,849.015858
-8.147175,1000,854.434143
45.746932,1000,859.349891
-46.586824,1000,866.724441
23.04206,149,867.881762
15.399805,1000,904.960995
-15.912563,1000,911.099906
47.986884,1000,918.87549
-107.79775,1000,926.628518
-4.615212,1000,951.679062
47.636176,538,954.505014
3.091012,1000,968.441546
5.505976,1000,976.19383
-44.881564,757,982.106007
86.814687,1000,1006.829398
30.68975,1000,1012.139691
-31.210546,1000,1027.215622
-92.869545,1000,1034.985114
-0.011301,1000,1062.076702
-66.257135,431,1064.085226
-6.868111,74,1064.440655
40.322803,1000,1069.532541
