#{"t_start": 1718345642.5309103, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
-39.221944,1000,15.043214
5.513318,1000,25.777849
-22.546707,73,26.424825
-15.919796,10,26.514213
-15.699337,1000,44.602211
-105.983377,1000,56.77441
-15.273505,573,127.742361
-24.569167,459,142.567234
-92.778167,813,153.219685
-37.312029,90,154.035188
-83.404176,419,157.725132
-13.937504,15,157.860502
-14.434264,14,157.987479
-67.883996,1000,167.477214
-25.669509,29,167.737483
14.290059,1000,248.09034
-2.774075,475,252.748409
-34.853782,1000,263.39503
-6.928115,348,266.719501
-67.582642,1000,276.118532
-11.748862,11,276.228271
-30.750388,28,276.498997
-13.931761,32,276.807518
-112.015849,1000,339.756113
-66.201004,839,359.582344
-17.865076,205,361.963478
10.650428,1000,373.417974
-85.810897,596,389.359597
-97.258285,1000,401.355294
-19.232022,212,404.094357
-0.602813,414,457.359571
153.780728,1000,476.918383
-17.658257,483,482.789553
-94.348514,743,493.157305
9.00318,822,505.227837
-21.327017,16,505.422214
-89.627357,511,521.269713
-80.086213,1000,581.085555
38.082834,1000,592.424517
-41.62511,414,606.402314
33.777352,432,611.379743
7.861607,182,613.453818
53.479383,856,624.126312
-22.721672,269,627.508727
-8.395915,291,677.069143
17.372195,1000,696.342572
-34.207537,27,696.575022
37.800181,799,704.235823
0.478046,871,714.156682
90.058817,1000,733.939245
119.789047,1000,790.865816
105.934109,1000,808.126172
37.40344,596,813.594559
44.685273,1000,824.137384
10.584764,1000,890.704542
27.693909,1000,899.989182
-47.368509,1000,911.112414
229.199389,1000,932.033657
32.523895,1000,987.797186
-10.378833,11,987.929285
-14.766762,1000,1007.308347
51.27042,694,1015.040637
57.788362,1000,1029.902069
-37.475181,282,1034.210378
-11.750326,17,1034.473489
29.967431,391,1040.78792
