#{"t_start": 1718361814.5686975, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
-98.921,1000,6.749489
50.291938,286,8.432186
121.715289,1000,14.281525
-17.020715,9,14.332222
-9.674263,90,14.856611
-8.096032,51,15.150385
67.45449,719,19.36132
15.453309,234,20.731945
-86.225627,628,24.448174
44.068905,315,68.894084
-24.533358,442,72.28478
-5.215144,1000,78.317275
-33.331838,166,79.297321
-33.810943,1000,85.177145
-15.60851,505,88.176245
79.471665,1000,136.906302
-7.336881,158,138.311095
67.605128,1000,144.550693
-114.811139,895,149.836177
-82.370591,817,154.708369
-69.59014,1000,201.86711
-64.06161,555,207.184804
-8.516869,82,207.718553
-66.579169,1000,213.573776
-2.517608,1000,219.550833
29.825221,890,224.789396
