#{"t_start": 1718459238.356944, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
-24.773494,340,2.789201
-55.023577,90,3.331819
118.504539,96,3.910709
168.40273,151,4.827184
-69.176099,284,6.532297
69.417513,302,8.372077
-73.29144,91,8.929867
65.619591,237,10.38645
-85.839876,118,11.100677
161.210133,130,11.915393
78.829107,513,15.073285
-7.471515,69,15.489768
-9.78771,126,16.24982
-41.675306,282,18.029783
-47.292324,213,19.353738
-13.716631,107,20.018874
212.014092,417,22.600132
-118.451496,108,23.247739
12.919608,78,23.744484
22.696354,429,45.276361
-97.999401,132,46.065834
92.71087,292,48.088319
-118.879724,344,50.55916
-176.702742,134,51.723163
48.776949,115,52.498878
2.34875,147,53.457465
30.942921,93,54.07667
-111.906636,138,55.214049
-53.963399,193,56.790774
67.509638,94,57.377261
16.273723,323,59.609026
244.616784,513,63.721501
-119.053572,90,64.291374
52.623401,90,64.866922
6.823559,249,66.480704
-73.727225,284,68.293876
83.451479,120,69.066625
99.676883,169,70.194034
-2.466956,322,72.257326
18.987932,72,72.709869
21.819119,388,95.413654
15.031612,145,96.365077
138.631234,192,97.700234
-128.455376,194,98.97219
101.763578,420,101.682763
-61.020343,96,102.334991
-36.510051,155,103.371599
57.24209,166,104.43799
-3.24246,325,106.477959
-125.803926,152,107.433285
-25.455479,153,108.385036
-107.037334,203,109.653099
73.123249,96,110.256744
116.881687,97,110.857668
-40.920651,74,111.331329
10.468581,369,113.642462
28.346066,92,114.231989
-90.583542,244,115.759839
39.557166,120,116.497868
-10.470958,303,118.425568
68.055402,414,139.088579
-99.65523,90,139.705041
-48.114993,313,141.745763
-0.770502,265,143.471241
-93.66891,131,144.336616
30.655886,89,144.938135
-31.847302,139,145.830001
-14.288102,93,146.432306
77.81761,158,147.459978
-38.334223,116,148.201301
-107.458391,88,148.773103
-5.620806,100,149.41372
-27.586705,124,150.211374
30.409093,157,151.224573
91.850365,104,151.887128
24.576822,317,154.751233
-78.634556,184,155.954577
-53.388752,133,156.802245
117.198173,311,158.790665
19.973391,121,159.554231
68.291762,115,160.282356
-17.753412,480,163.353652
-20.24444,93,163.945828
-83.696878,317,184.366942
48.152344,164,185.401639
-135.324019,372,187.782338
14.139339,85,188.328265
-45.090246,191,189.536765
36.489615,178,190.640194
-77.941219,101,191.267053
-66.962873,164,192.33993
75.101469,141,193.241718
-2.6589,63,193.646251
-166.573937,136,194.527876
38.194133,145,195.492481
40.279427,90,196.075341
84.712344,130,196.931489
155.374653,168,198.014692
62.500217,119,198.762949
38.994356,62,199.161307
-13.083549,174,200.258213
52.197075,94,200.851677
33.797457,283,202.707191
40.062545,186,203.887937
60.805188,382,206.363961
58.169493,91,206.96547
-5.861952,117,207.710914
0.201918,548,229.449844
-76.248795,68,229.996636
84.337304,118,230.837088
91.213666,412,233.508738
20.534473,86,234.077931
62.295589,189,235.292496
96.301055,452,238.186208
-67.6174,80,238.6765
10.749882,107,239.342628
-7.537139,103,240.000629
-0.661649,72,240.465022
39.656933,178,241.577805
122.907529,394,244.103845
45.432981,133,244.94589
-10.798461,89,245.502463
-9.325079,75,245.97694
91.108408,83,246.505643
73.938146,122,247.272112
64.940877,256,248.883736
-76.944385,94,249.483485
32.894764,83,250.015219
-85.424679,105,250.673576
80.5835,105,251.334702
-18.616473,240,252.839384
-103.799343,122,253.614762
10.546822,86,254.163825
2.362018,93,272.598216
159.25778,454,276.274554
47.69024,81,276.782817
20.831464,209,278.122991
-65.945929,277,279.900158
-19.001783,96,280.488783
-43.124002,166,281.502367
96.539861,121,282.218756
-0.687791,94,282.786875
-141.252277,101,283.396445
-128.667471,164,284.411633
-134.463561,218,285.745889
-5.103635,172,286.80016
14.677581,65,287.197944
-97.972173,351,289.385636
-144.440232,210,290.679784
-118.781077,173,291.761299
-122.980674,105,292.408865
-48.243031,99,293.02315
-141.986135,118,293.736746
-80.117383,352,295.926727
56.814993,144,296.800737
-8.402204,60,297.173177
-59.688894,427,317.664053
-98.735866,114,318.422217
38.432619,271,320.12477
-137.919483,120,320.884959
-113.476766,135,321.747905
-4.974967,123,322.532085
93.942875,138,323.402705
-87.621468,79,323.899876
-59.694241,433,326.560219
-18.70306,128,327.333451
4.334113,157,328.320175
-90.01898,136,329.16823
55.484942,117,329.869363
97.096763,103,330.514522
131.247994,104,331.172839
151.335052,150,332.115578
71.431144,136,332.963477
49.261365,84,333.488094
5.588154,132,334.291038
-83.922941,122,335.032282
99.861006,139,335.894381
-11.275723,115,336.59729
137.88499,206,337.872454
45.918765,111,338.580112
-112.13528,97,339.192117
-87.068864,165,340.243424
79.313249,399,360.230591
19.720495,404,362.822921
-97.677522,115,363.570076
0.229377,181,364.705049
-61.542231,95,365.308478
155.908721,163,366.33652
24.146925,110,367.031403
-74.540887,353,369.423417
-124.787347,124,370.242732
7.572742,160,371.260398
54.272221,117,372.018372
90.117733,246,373.576097
71.118941,219,374.95333
-56.829621,141,375.839836
103.587473,96,376.433163
32.840972,113,377.128393
96.385803,86,377.668444
-97.790967,134,378.506749
18.723967,76,378.982044
-17.944317,122,379.749015
-232.536256,162,380.774622
66.726398,308,382.749009
19.651119,64,383.138356
-105.053646,108,383.82407
-87.244349,114,384.556433
49.127029,94,385.150544
-5.757842,16,385.251441
-146.023277,160,404.543652
-88.880602,155,405.559532
1.180841,128,406.363394
75.531479,128,407.16873
126.57996,113,407.891256
95.872644,133,408.734365
69.751682,112,409.449933
-120.38965,92,410.027547
-2.705697,121,410.759358
61.700012,129,411.540619
56.065093,142,412.398257
49.089464,334,414.524196
-143.910603,259,416.145964
-91.853148,104,416.789451
-73.969951,188,417.947507
-85.123306,126,418.731619
83.000251,144,419.628753
-57.378851,85,420.14184
63.752728,100,420.759164
3.166896,373,423.057041
-416.765473,491,426.094521
69.538573,88,426.642314
-36.610807,168,427.673195
40.996558,152,428.616377
-43.464786,71,429.059484
-31.175115,139,447.848232
102.857782,202,449.122124
100.063363,130,449.931372
-51.716041,101,450.56813
-64.344047,116,451.29175
32.062035,261,452.954695
134.575761,242,454.467727
49.330598,124,455.217376
-47.106829,451,458.037584
-11.171126,365,460.540156
-102.204057,98,461.163295
24.783247,87,461.725182
-105.818807,134,462.581179
3.493198,54,462.924479
174.904871,368,465.197857
-104.70822,189,466.398304
51.923547,102,467.05595
-95.286992,89,467.609492
-14.044911,71,468.050221
-68.417529,242,469.585937
-83.148636,341,471.756418
28.413808,80,472.270383
-123.106022,109,472.94637
-0.281345,91,490.886798
-15.277406,70,491.347739
9.021765,313,493.320386
-620.289904,536,496.912477
-36.29406,254,498.478083
-109.396531,336,500.569664
22.936954,203,501.834489
-7.771882,329,503.923549
29.092076,402,506.437802
-124.423013,126,507.217217
64.516537,277,508.933396
244.414662,131,509.731784
43.424964,78,510.240411
11.49243,104,510.87328
33.367163,388,513.313556
-91.531813,153,514.304502
113.42945,437,534.656424
9.181454,101,535.291818
53.549728,87,535.841491
55.018167,113,536.562627
-61.617932,97,537.17608
105.054205,107,537.846024
40.023856,118,538.585623
-110.092274,89,539.169846
-18.517396,106,541.172171
10.468167,96,541.815633
148.963358,250,543.401799
-202.777735,169,544.421718
-50.146782,178,545.503127
77.420535,99,546.133435
50.054088,101,546.73104
-2.933469,441,549.372694
17.879878,299,551.289473
32.245185,61,551.674505
7.991799,89,552.243923
187.079948,188,553.456364
10.800205,245,554.956531
-24.607768,78,555.433933
35.089952,98,556.049018
