#{"t_start": 1718479408.652279, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
-31.710301,298,2.281518
748.595634,331,3.986781
39.388852,111,4.561589
1151.221465,390,6.583526
369.863751,387,8.577989
308.224877,313,10.195884
179.238733,184,11.147012
1214.38406,484,13.641881
705.530816,354,15.468666
279.88415,246,16.73566
644.73652,407,18.833575
153.56793,192,19.819739
1379.644852,549,34.273552
1158.687675,897,39.390054
539.830655,472,41.879514
2522.861854,929,46.761181
1492.381727,592,49.963713
317.402098,192,50.99658
1177.72953,472,53.52829
2818.878513,1000,69.973131
1909.786493,755,73.948508
216.955137,210,75.038007
458.257483,350,82.358307
1872.860019,937,87.488063
335.098963,278,88.986271
961.850929,341,90.832499
340.611668,131,91.539066
16.650285,52,91.819872
1606.14616,1000,109.169046
940.774187,399,111.226627
-5.275081,17,111.314939
606.433241,259,112.65012
649.006836,529,115.38703
-20.081688,23,115.505374
841.389056,333,117.228527
690.208667,318,118.87337
26.572173,95,119.361023
693.901414,362,121.494202
-0.904157,97,122.000271
1342.843577,582,125.073765
1818.38867,660,140.691196
217.128721,157,141.508563
747.162932,280,142.964391
1455.666269,511,145.62648
1740.206014,919,150.414136
1658.79432,607,153.556724
109.078758,118,154.170153
381.236565,124,154.81304
237.229017,177,155.731619
489.502441,430,157.998162
2851.926842,1000,183.963439
525.890321,276,185.389338
192.901123,134,186.086115
477.685283,628,189.327847
-24.098145,141,190.057647
653.696052,306,191.642977
2347.173569,1000,196.803543
-16.65108,34,196.979587
121.56046,53,197.252743
137.077111,66,197.593744
929.939734,427,199.802573
628.004711,394,201.832935
178.732212,103,202.364962
730.06758,276,215.708112
2148.525478,660,224.204478
1098.145054,404,226.412122
432.112238,292,227.992506
130.38794,81,228.431659
319.343523,153,229.271935
498.003198,179,230.259618
915.816239,409,232.486446
603.548576,306,234.130726
27.419698,73,234.509394
-12.854128,10,234.562088
31.197911,36,234.747417
-17.761576,19,234.845266
363.508831,185,235.80369
630.337839,270,237.206286
7.67113,31,237.368028
-24.496776,69,237.726069
126.173529,209,238.810269
132.455253,214,239.923102
1118.424909,380,241.896786
1534.491451,745,257.116596
29.650281,184,258.07788
207.341288,136,258.786475
122.506207,130,259.462326
54.251325,306,268.974054
-24.977031,12,269.037432
76.513316,152,269.830392
-16.540667,28,269.976533
2881.460594,1000,275.415963
2006.710986,693,279.184924
138.458347,216,280.347749
2722.23452,1000,298.113423
2422.600976,938,302.957741
296.810809,203,304.023159
2098.212361,714,308.197995
2077.623657,928,313.020839
2171.010648,1000,329.95737
44.58539,182,330.891848
1539.409464,626,334.133704
88.121073,47,334.382755
623.513949,273,335.793307
-157.314732,235,337.006142
2.145343,67,337.354146
454.746548,269,338.742105
10.096254,30,338.896697
110.061204,74,339.279026
1759.256554,862,343.718758
2887.301615,1000,350.328727
651.949141,206,351.395438
849.131148,378,365.453799
499.446227,474,367.904442
41.070858,56,368.193696
